,domain_height,ditch_width,dewatering_depth,stage,elevation,anisotropy,k11,k33,recharge_rate,c0,c1,aquifer_head
0,7.8500000000000005,0.5,1.0764736161115636,6.773526383888437,6.473526383888437,0.16877841384264408,2.2832589739989606,0.3853648280235275,0.0005,1.214554867135308,369.0013162561418,6.873526383888437
1,5.0,0.75,1.7193624710115527,3.2806375289884473,2.9806375289884475,0.11208858400737945,0.5525114290340367,0.06193022372831889,0.0005,1.6463359940343392,398.0712125735708,3.3806375289884474
2,9.5,0.55,1.4520793877608555,8.047920612239144,7.747920612239144,0.1883296101362011,1.407269116139646,0.2650304439992958,0.0005,1.533081015924937,330.521219713879,8.147920612239144
3,8.5,0.8,1.3633992198870766,7.136600780112923,6.836600780112923,0.2675979841108883,2.1197428484999854,0.5672389130920682,0.0005,2.2788054836253515,381.2820673908932,7.236600780112923
4,3.75,0.5,1.6381462245202465,2.1118537754797533,1.8118537754797532,0.39349569140072027,2.7430152078456804,1.0793646657339264,0.0005,2.287460347774114,298.0673142178125,2.2118537754797534
5,8.85,0.75,1.3656462964607612,7.484353703539238,7.184353703539238,0.2852104327895033,2.877869781513701,0.8207984858973559,0.0005,1.2887972504276002,63.873147770494484,7.584353703539238
6,6.95,0.55,1.7853271513956472,5.1646728486043525,4.864672848604353,0.15323241864303802,2.5077337769292143,0.3842661119517043,0.0005,1.820914530785251,740.4156787924562,5.264672848604352
7,3.25,0.9,1.988770559499471,1.261229440500529,0.961229440500529,0.23321574532089545,1.0630459060498243,0.24791904328973638,0.0005,2.4498944943140204,181.20994363278083,1.3612294405005292
8,7.800000000000001,1.05,1.0752981205201242,6.724701879479877,6.424701879479877,0.27987246813708067,2.2413400843345737,0.6272893813372896,0.0005,1.5067726082932467,427.7513162120504,6.824701879479877
9,8.9,0.6000000000000001,1.9247291931531956,6.975270806846805,6.675270806846805,0.2147205825865496,2.77311873494902,0.595445670349929,0.0005,2.2679178657548604,748.8679900698576,7.075270806846804
10,5.75,1.4000000000000001,1.7089818562269636,4.041018143773036,3.7410181437730365,0.3261355744315505,1.6515244529850044,0.5386208761620166,0.0005,1.5908752817258804,128.41833045516188,4.141018143773036
11,4.6000000000000005,1.2000000000000002,1.3419245469901648,3.2580754530098357,2.958075453009836,0.4801774730185354,2.635848223353402,1.2656749391502329,0.0005,1.9615167219786354,195.54160615070592,3.358075453009836
12,7.0,1.35,1.7820894894584673,5.217910510541532,4.917910510541533,0.42863203414029905,1.911686663406175,0.81941014317467,0.0005,1.3034669740432236,715.5694792441859,5.317910510541532
13,5.3500000000000005,1.05,1.2790252734125933,4.070974726587407,3.770974726587407,0.25160470582160777,1.6339452852887575,0.4111083228336808,0.0005,2.3670985168737793,123.06669099424794,4.170974726587406
14,9.450000000000001,1.25,1.190912193465284,8.259087806534717,7.9590878065347175,0.37268977775778234,1.0828349792341005,0.4035615277591098,0.0005,1.3540209314262306,783.1901596877503,8.359087806534717
15,7.550000000000001,1.1500000000000001,1.462209827923758,6.087790172076243,5.787790172076243,0.13693351221847655,1.2846086730433668,0.1759059774261448,0.0005,1.8138286200874216,117.54003588323233,6.187790172076243
16,5.1000000000000005,0.9500000000000001,1.0807107243907752,4.019289275609225,3.719289275609225,0.33015239187577106,2.5590689944345795,0.8448827494877007,0.0005,1.9160388544529598,443.85777162934016,4.1192892756092245
17,9.9,1.3,1.4219960604716022,8.478003939528397,8.178003939528397,0.3474997306379183,0.6906752771201101,0.24000947275750784,0.0005,1.3222032756382793,843.2147174676363,8.578003939528397
18,7.7,0.6000000000000001,1.5723663830117522,6.127633616988248,5.8276336169882486,0.3050436416669403,2.1022779588890668,0.6412865243756631,0.0005,2.1452352473670127,898.7362808367545,6.227633616988248
19,3.0,1.05,1.9414681544170178,1.0585318455829822,0.7585318455829821,0.1982275169182621,2.197775501099968,0.4356595803268359,0.0005,1.126426746360416,954.512882420588,1.1585318455829823
20,3.75,0.7000000000000001,1.3470681329394072,2.402931867060593,2.102931867060593,0.2873885910556552,1.7293068252361667,0.49698305200755005,0.0005,1.0879515577566143,864.6247278631463,2.502931867060593
21,5.050000000000001,1.25,1.743025516010252,3.306974483989749,3.006974483989749,0.19200547257893485,0.7098714797876975,0.13629920894694467,0.0005,1.5436728007101608,939.3483716681953,3.406974483989749
22,8.1,1.2000000000000002,1.6425833817446183,6.457416618255381,6.157416618255382,0.4710811427057743,1.2023447086349348,0.5664019192699863,0.0005,1.525634217367537,992.1297550855217,6.557416618255381
23,4.2,1.1500000000000001,1.753408127959477,2.446591872040523,2.1465918720405233,0.22697295536797726,1.27356895230756,0.2890657089701454,0.0005,2.295833148355361,779.228583614437,2.546591872040523
24,6.1000000000000005,1.1,1.0313954845162723,5.068604515483728,4.768604515483728,0.2800185259391229,2.862487283770442,0.801549469720883,0.0005,1.5779772244581565,976.6269409117772,5.168604515483728
25,5.0,1.4500000000000002,1.5626634912682973,3.4373365087317027,3.137336508731703,0.32775657220656174,0.5017187280873363,0.16444161052974135,0.0005,1.4356369228100243,248.63212084942265,3.537336508731703
26,3.1,1.2000000000000002,1.6328529243412575,1.4671470756587426,1.1671470756587425,0.2547993347155755,0.6919538014267166,0.1763093682574408,0.0005,1.982617259963271,268.54943490652147,1.5671470756587427
27,6.65,1.1500000000000001,1.4969726619363177,5.153027338063683,4.853027338063683,0.44690782056031164,1.6278726388175442,0.7275090131637121,0.0005,1.4264862412682842,302.41504319054366,5.253027338063682
28,8.9,0.75,1.3604534293615798,7.539546570638421,7.239546570638421,0.34990048839631116,2.79295424706374,0.9772560551161542,0.0005,1.3539180817846836,867.9586292885944,7.63954657063842
29,3.6500000000000004,0.5,1.4620015733941658,2.1879984266058345,1.8879984266058345,0.2902893765852439,2.9795484220749535,0.8649312539496854,0.0005,2.010144664751793,187.9739736266131,2.2879984266058346
30,8.950000000000001,1.3,1.4726216306022182,7.477378369397783,7.1773783693977835,0.10186010195588531,2.555580139775758,0.26031165359399433,0.0005,1.577727236933009,517.2107751332853,7.577378369397783
31,9.850000000000001,0.55,1.8052263969640754,8.044773603035926,7.744773603035926,0.31250144588168177,1.3713419971403655,0.4285463569046373,0.0005,1.566924524591005,204.95346523194075,8.144773603035926
32,5.050000000000001,0.65,1.2243750874967438,3.825624912503257,3.525624912503257,0.11604207209071982,2.073513321173653,0.24061478229670094,0.0005,1.48265434080303,906.7764817473627,3.925624912503257
33,5.050000000000001,0.9,1.7195751461973696,3.330424853802631,3.0304248538026313,0.24296907980537902,1.1304397061946008,0.2746618951895652,0.0005,1.19999801917998,408.86277992245607,3.430424853802631
34,5.800000000000001,0.8500000000000001,1.0075652754242788,4.792434724575722,4.492434724575722,0.3076982829270758,2.484268810313068,0.7644052472626204,0.0005,1.749867742021084,504.60506501542187,4.892434724575722
35,6.65,0.8500000000000001,1.7009366816288787,4.949063318371122,4.649063318371122,0.34821983943747836,2.618378467156516,0.9117713294197927,0.0005,1.4929399891241233,313.79002726554984,5.049063318371122
36,6.300000000000001,0.9,1.5786795162870093,4.721320483712992,4.421320483712992,0.14591478585694967,1.9686213387027969,0.2872509610702402,0.0005,1.0000012951289623,701.4361095997981,4.8213204837129915
37,5.0,1.0,1.453610629389967,3.546389370610033,3.246389370610033,0.23413860037748338,0.9190450537956325,0.21518392257955832,0.0005,1.0687256303456558,139.1419059041546,3.646389370610033
38,9.450000000000001,0.9500000000000001,1.4252533905102003,8.024746609489801,7.724746609489801,0.4472991570891808,1.943804023876691,0.8694619014266016,0.0005,1.8956094278552822,935.5708707547583,8.1247466094898
39,5.8500000000000005,0.8,1.2560580071627552,4.593941992837245,4.2939419928372455,0.3070051143270303,1.7638976672264357,0.5415256049880339,0.0005,1.7670354950394094,235.78147299898782,4.693941992837245
40,6.15,0.9,1.7766235070233007,4.3733764929767,4.0733764929767,0.4658265926473971,2.648762429507055,1.2338639772697129,0.0005,2.4685436953339392,208.03030391145705,4.4733764929766995
41,3.45,1.4000000000000001,1.3597696000396418,2.090230399960358,1.7902303999603582,0.15382637574852986,2.703968128279185,0.41594161731272294,0.0005,1.1295975379614291,332.63706555255885,2.1902303999603583
42,8.700000000000001,0.9500000000000001,1.3190191804484053,7.380980819551596,7.080980819551596,0.21619920285799743,1.2389051774366062,0.26785031177844015,0.0005,1.982426171753409,96.28446927055002,7.480980819551595
